2,US coronavirus update: Number of cases exceed 1 million - CNN,cnn,The coronavirus pandemic has impacted nearly every facet of American life. Follow here for the latest news.
2,The great opening-up gamble is about to begin,cnn,This is one moment when the tired metaphor of world leaders being at war with Covid-19 might actually be apt.
2,Meat plant workers to Trump: Employees aren't going to show up,cnn,Meat processing plant workers are concerned about President Donald Trump's executive order that compels plants to remain open during the coronavirus pandemic.
2,FAA looking into a runway incident involving Harrison Ford,cnn,Harrison Ford is speaking out about a runway incident at a California airport last week.
2,Trump tries to backtrack on testing claim. See what really happened. - CNN Video,cnn,President Donald Trump falsely claims that he didn't say the US will get to 5 million daily coronavirus tests soon. CNN's Brooke Baldwin and Dr. Sanjay Gupta replay that tape.
2,"Fauci expresses optimism about 'significant, positive' data from a trial of the possible Covid-19 treatment remdesivir",cnn,"New data suggests patients with severe Covid-19 who took remdesivir could recover faster than patients who didn't take it, the National Institute of Allergy and Infectious Diseases said Wednesday."
2,"US could be in for 'a bad fall and a bad winter' if it's unprepared for a second wave of coronavirus, Fauci warns",cnn,"A second round of the coronavirus is 'inevitable,' the nation's leading epidemiologist says, but just how bad it is will depend on the progress the US makes in the coming months."
2,Gov. Andrew Cuomo: This is turning into a political brawl - CNN Video,cnn,Gov. Andrew Cuomo (D-NY) comments on the difficulties some states face around obtaining federal funding for coronavirus relief.
1,Coronavirus pandemic: Updates from around the world - CNN,cnn,"The global coronavirus pandemic has brought countries around the world to a standstill. Here's the latest updates on worldwide Covid-19 cases, deaths, government responses, and more."
3,Stock market news today: Dow and S&P 500 updates - CNN,cnn,Investors continue to worry about the coronavirus pandemic's impact on the economy. Here's what's moving markets today.
2,Pelosi announces Democratic members for panel to oversee pandemic response,cnn,House Speaker Nancy Pelosi announced on Wednesday the Democratic members who will serve on a newly established oversight panel with broad authority to oversee the federal response to the coronavirus pandemic.
2,FEMA prepares to send protective gear to nursing homes,cnn,"The Federal Emergency Management Agency is preparing to send personal protective equipment to nursing homes, which have struggled to obtain gear weeks into the pandemic as the death toll climbs."
2,Opinion: Pence unmasked shows his obedience to Trump,cnn,"Michael D'Antonio writes that Vice President Mike Pence's decision to visit the Mayo Clinic without a mask, despite requirements to do so, shows that he has been fully corrupted by President Donald Trump. By choosing to go against guidelines in the midst of a global coronavirus pandemic, Pence is displaying a lack of leadership that one would not expect from someone with 30 years of experience in public service."
2,Drug has 'clear cut' power to fight coronavirus,bbc-news,"The data on its effect on symptoms comes from a trial of more than 1,000 patients in the US."
2,Coronavirus updates: US confirms one million cases,bbc-news,"More than 58,000 Americans have now died with Covid-19, more than were killed in the war in Vietnam."
3,US economy sinks 4.8% amid coronavirus shutdowns,bbc-news,The contraction in the world's largest economy is the most severe since the financial crisis of 2008.
2,They risk their lives just to cut my hair',bbc-news,"Barber shops, tattoo parlours, beaches and restaurants reopen in Georgia."
2,My son's murderer doesn't deserve to die of virus,bbc-news,A mother in Argentina says she fears the asthmatic killer will not survive Covid-19 in jail.
1,Crazy beast' lived among last of dinosaurs,bbc-news,The discovery that the badger-like animal lived alongside dinosaurs challenges ideas about mammals.
2,Kentucky governor calls Tupac Shakur to apologise,bbc-news,The governor was left red-faced after a very unlikely unemployment claim surfaced in the US state.
2,Inmate who gave birth on ventilator dies of Covid-19,bbc-news,The 30-year-old appears to be the the first US federal female prisoner to die from coronavirus.
1,Boris Johnson and fiancee announce birth of son,bbc-news,"Mother and baby are ""doing very well,"" says No 10, and the PM has returned to work in Downing Street."
1,Europe grapples with lifting limits on travel,bbc-news,"France plans to allow greater freedom, while Germany warns against worldwide travel before mid-June."
6,Coronavirus could affect international football for 'two or three years',bbc-sport,"Coronavirus could impact on the international football calendar for ""two or three years"", says Lars-Christer Olsson, of Uefa's executive committee."
6,Tour could go ahead as Vuelta cancels start,bbc-sport,The Tour de France could still go ahead despite more sanctions on mass gatherings by the French government.
6,Ligue 1: Neymar & Mbappe's future and how will positions be decided?,bbc-sport,Who will qualify for Europe? Who will go down? Could Kylian Mbappe and Neymar leave PSG?
6,Jameis Winston: Quarterback signs for New Orleans Saints,bbc-sport,Quarterback Jameis Winston - who was replaced by Tom Brady at the Tampa Bay Buccaneers - signs a contract with the New Orleans Saints.
6,Project Restart: How realistic is Premier League plan to resume season?,bbc-sport,"When Premier League club executives meet on Friday they will do so amid mounting unease over whether the season can resume at all, writes BBC sports editor Dan Roan."
6,What was the best Champions League semi-final? Vote for your favourite,bbc-sport,"On what should be Champions League semi-final week, BBC Sport take a look at some of the best last-four ties and want you to vote for your favourite."
6,La Liga plans training return as soon as possible after government go-ahead,bbc-sport,La Liga is working towards its clubs returning to training as soon as possible after being given the green light by the Spanish government.
6,UK Athletics hands over Salazar report,bbc-sport,UK Athletics has handed over the full 2015 report into the handling of the Alberto Salazar scandal to UK Anti-Doping following repeated requests.
